Pedido;Data;Vendedor;Situacao;Cidade;Logistica;Situacao_CSV_Entrega;Valor_Pedido;Qtd_Itens;Itens_Resumo
L12609924;24/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 386,40;1;6820 - PISO CERBRAS ARARIPE CZ 46 X 46 ''C'' (18,40 MT)
L12609926;24/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 3.740,28;25;"3082 - JOELHO KRONA 90º ESG 40MM (3,00 UN) | 3514 - CANO KRONA AGUA SOLD 50MM (1,00 MT) | 21342 - REG. BELLARENZO 1416 DE PRESSAO ABS 3/4 C-40 LIGHT (1,00 UN) | 24746 - PISO KARINA REF. 67019 ""A"" 60 X 60 LUMINE GOLD ESM (17,36 MT) | 5498 - ADAPTADOR KRONA C/ FLANGE 50MM (1,00 UN) | 3216 - TEE KRONA SOLD 25 X 3/4 BUCHA LATAO (2,00 UN) | 7152 - BUCHA KRONA RED SOLD LONGA 40 X 25MM (1,00 UN) | 11479 - REJUNTE VOTOMASSA CZ PLATINA 1KG (8,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (28,00 UN) | 12673 - CANO KRONA ESGOTO 100MM (2,00 MT) | 3716 - JUNCAO KRONA 45° ESG 100 X 100MM KRONA (1,00 UN) | 12526 - REG KRONA ESF. SOLD 50MM (1,00 UN) | 5711 - BUCHA KRONA RED SOLD CURTA 50 X 40MM (1,00 UN) | 12184 - CX. DAGUA BAKOF 500L C/TMP (1,00 UN) | 7064 - CURVA KRONA SOLD. 90° 25MM LONGA (1,00 UN) | 13383 - FITA VEDA ROSCA PULVITEC 18MM X 50M (1,00 UN) | 24589 - JUNCAO AMANCO RED ESG 100 X 50MM (1,00 UN) | 5720 - TEE KRONA SOLD 25MM (2,00 UN) | 12670 - CANO KRONA ESGOTO 40MM (4,00 MT) | 17253 - JOELHO KRONA 90º ESG 100MM (1,00 UN) | 7070 - JOELHO KRONA 90º SOLD 25MM (4,00 UN) | 12544 - CANO KRONA AGUA SOLD 40MM (3,00 MT) | 3627 - JOELHO KRONA 90º SOLD C/BUCHA LATAO 25 X 3/4 B/LR (1,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (37,95 MT) | 9870 - ADESIVO KRONA PLASTICO 75G (1,00 UN)"
L12609930;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 586,00;5;5209 - CONECTOR P/HASTE DE COBRE (1,00 UN) | 3426 - CANO KRONA AGUA SOLD 25MM (6,00 MT) | 5720 - TEE KRONA SOLD 25MM (2,00 UN) | 3146 - HASTE ATERRAMENTO 1M X 10M J.LOBATO (1,00 UN) | 24788 - CABO SIL FLEX 4,0MM VERMELHO (100,00 MT)
L12609932;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 405,00;1;24590 - PISO CERBRAS LUMINATO BLANCO POLIDO 75 X 75 A (6,75 MT)
L12609937;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 551,32;6;"6875 - REJ PALHA QUARTZOLIT - 1KG (2,00 UN) | 15869 - ESPACADOR CORTAG JUNTAPISO 4MM 100PÇS (1,00 UN) | 17400 - CUNHA CORTAG SLIM PARA NIVELAMENTO (1,00 UN) | 21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (13,80 MT) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (6,00 UN) | 17995 - ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL (1,00 UN)"
L12609941;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;RETIRADA;R$ 1.047,85;2;"22931 - PISO KARINA REF. 75032 ""A"" 75 X 75 RET POLIDO BLACK GOLD (8,92 MT) | 24590 - PISO CERBRAS LUMINATO BLANCO POLIDO 75 X 75 A (6,75 MT)"
L12609942;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 100,00;1;24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (2,53 MT)
L12609945;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 213,90;1;21300 - PENDENTE NITROLUX NTL-002 6W 3000K (1,00 UN)
L12609947;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 233,80;1;20178 - LATEX FORTEX CAMURCA 15L FORTMAIS (2,00 UN)
L12609949;24/08/2026;LIMA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 685,00;1;14080 - ESCADA BOTAFOGO EXTENSIVA 8 X 2 DEGRAUS ALUMINIO (1,00 UN)
L12609951;24/08/2026;LEONARDO;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 5.495,19;3;6875 - REJ PALHA QUARTZOLIT - 1KG (14,00 UN) | 14900 - ARGAMASSA VARANDAS E QUINTAIS 15KG QUARTZOLIT (50,00 UN) | 24606 - PISO POINTER GIOIA ORO 60 X 60 BR REF. 21211 (108,79 MT)
L12609952;24/08/2026;CAMILA;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 409,60;5;"8950 - TRINCHA ATLAS ""2"" CABO MARROM (1,00 UN) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (3,00 UN) | 8983 - ROLO ATLAS ANTI GOTA 23CM (1,00 UN) | 6159 - MASSA CORRIDA 25Kg FORTEX (1,00 UN) | 17170 - LATEX FORTEX BRANCO GELO 15L FORTMAIS (2,00 UN)"
L12609954;24/08/2026;EDVALDO;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 1.327,20;2;3792 - TELA COLUNA 8,00MM 7 X 14CM 6M AÇO CEARENSE (6,00 UN) | 6615 - TRELICA / ESPACADOR 6M LEVE MAIA (28,00 UN)
L12609972;24/08/2026;MASCILON;Faturado;CRATEUS;ENTREGUE;PROGRAMADO;R$ 820,00;1;3792 - TELA COLUNA 8,00MM 7 X 14CM 6M AÇO CEARENSE (10,00 UN)
L8507351;24/08/2026;KAYLLANE;Faturado;MONTE NEBO;ENTREGUE;CARRO HORARIO;R$ 160,00;1;"24287 - PISO KARINA REF. 68027 ""A"" 60 X 120 RET POLIDO CLIPSE ORO (2,18 MT)"
L8507356;24/08/2026;GEICI;Faturado;CRATEUS;AGENDADA;NORMAL;R$ 1.390,00;2;21503 - CIMENTO POTY TODAS OBRAS 50KG (20,00 UN) | 12185 - CX. DAGUA BAKOF 1000L C/TMP (1,00 UN)
L8507357;24/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 749,55;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (15,00 UN)
L8507359;24/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 283,00;2;"21243 - PISO CERBRAS IPANEMA BEGE 46 X 46 ""A"" (9,20 MT) | 14557 - ARGAMASSA COZINHAS / BANHEIROS 15KG QUARTZOLIT (3,00 UN)"
L8507361;24/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;NORMAL;R$ 320,00;3;"13139 - CHUVEIRO ASTRA PLASTICO 4"" BRANCO (1,00 UN) | 8608 - ARGAMASSA VOTOMASSA ACII 15KG EXTERNA (3,00 UN) | 11763 - PISO CERBRAS ICAPUI BR 46 X 46 ''A'' (6,90 MT)"
L8507364;24/08/2026;GEICI;Faturado;CRATEUS;ENTREGUE;URGENTE;R$ 410,00;1;12185 - CX. DAGUA BAKOF 1000L C/TMP (1,00 UN)
L8507373;24/08/2026;GEICI;Faturado;NOVA RUSSAS;AGENDADA;NORMAL;R$ 2.998,20;1;21503 - CIMENTO POTY TODAS OBRAS 50KG (60,00 UN)
